Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
1	Iron bcc (old)	13.48	4.1429	2	6.69	10.94	5.0436	1.4821	81.752	0.57	1.76	15.06	44.19	61.37	True	corner
2	Iron bcc (old)	54.32	8.3164	5	47.80	9.74	14.222	2.9247	1.3267	1.16	7.30	31.60	24.72	35.08	True	edge
3	Iron bcc (old)	87.52	10.556	8	109.67	17.59	13.455	1.6245	14.807	1.97	4.22	232.24	27.22	32.41	True	edge
4	Iron bcc (old)	4.08	2.2792	3	149.73	6.16	2.625	1.3265	65.145	0.52	1.44	230.18	28.68	24.13	True	edge
5	Iron bcc (old)	15.92	4.5022	3	174.56	4.17	9.0556	4.0456	1.3248	0.99	6.44	334.31	3.10	17.25	True	edge
6	Iron bcc (old)	17.44	4.7122	5	210.11	14.65	7.4983	2.532	126.01	0.56	1.58	63.83	35.52	5.91	True	edge
7	Iron bcc (old)	142.68	13.478	5	271.73	19.50	22.622	2.8171	169.39	1.12	5.96	351.74	26.26	86.97	True	edge
8	Iron bcc (old)	21.68	5.2539	3	322.59	4.12	11.855	5.0913	178.12	0.83	2.10	334.79	50.56	43.26	True	edge
9	Iron bcc (old)	17.96	4.782	3	364.73	7.68	6.2472	1.7067	14.961	0.78	2.20	331.85	17.08	61.80	True	edge
10	Iron bcc (old)	121.36	12.431	6	423.17	13.59	25.918	4.3473	5.5512	2.37	10.96	357.39	30.70	42.28	True	edge
11	Iron bcc (old)	94.12	10.947	8	549.05	10.80	21.504	3.8587	1.446	0.69	2.18	207.91	49.31	44.92	True	edge
12	Iron bcc (old)	20.08	5.0563	4	616.15	14.92	6.665	1.7375	109.31	3.96	5.08	248.00	46.79	33.99	True	edge
13	Iron bcc (old)	46.6	7.7028	6	476.47	25.58	12.922	2.8144	24.531	4.70	11.32	5.74	49.97	42.64	True	no
14	Iron bcc (old)	129.72	12.852	7	178.93	35.27	14.788	1.324	161.6	1.11	3.30	225.11	44.50	39.76	True	no
15	Iron bcc (old)	84.12	10.349	9	346.92	33.01	12.742	1.5159	166.85	6.50	16.80	2.12	38.47	47.45	True	no
16	Iron bcc (old)	6.28	2.8277	3	604.03	17.64	4.0928	2.0949	151.18	0.45	1.41	10.58	46.76	43.49	True	no
17	Iron bcc (old)	22.32	5.3309	5	11.63	30.41	7.1546	1.8012	49.748	2.55	4.47	230.35	43.26	39.04	True	edge
18	Iron bcc (old)	5.64	2.6798	4	70.62	22.56	3.8255	2.0379	13.594	0.56	1.21	55.50	30.29	16.31	True	no
19	Iron bcc (old)	233.8	17.254	20	564.57	61.82	21.092	1.4945	170.52	7.30	20.28	223.90	45.04	40.96	True	no
20	Iron bcc (old)	4.92	2.5029	3	501.84	23.95	3.7669	2.2651	15.764	1.31	7.41	250.91	52.51	49.23	True	no
21	Iron bcc (old)	39.68	7.1079	9	36.42	37.77	10.277	2.0904	45.355	0.91	2.24	212.87	47.69	40.14	True	no
22	Iron bcc (old)	8	3.1915	4	577.22	29.02	4.0063	1.5758	106.93	1.78	3.27	11.56	48.61	36.83	True	no
23	Iron bcc (old)	156.44	14.113	15	137.50	87.69	22.484	2.538	85.669	4.62	6.11	48.76	43.58	38.41	True	no
24	Iron bcc (old)	79.12	10.037	14	479.76	51.86	16.29	2.6341	32.888	4.32	11.99	237.37	47.65	34.86	True	no
25	Iron bcc (old)	20.88	5.1561	4	430.15	36.08	5.7877	1.26	145.73	0.48	1.19	232.36	48.22	42.52	True	no
26	Iron bcc (old)	33.32	6.5134	8	76.57	42.96	8.3425	1.6405	122.06	0.91	2.31	226.02	51.68	40.63	True	no
27	Iron bcc (old)	101.76	11.383	8	254.29	55.38	12.361	1.1793	2.9572	1.27	4.20	239.82	43.55	14.91	True	no
28	Iron bcc (old)	69.76	9.4245	10	415.22	51.33	13.018	1.9079	161.77	3.16	8.54	221.60	47.45	44.76	True	no
29	Iron bcc (old)	17.24	4.6852	4	221.09	45.84	5.7352	1.4985	85.942	0.93	2.42	236.67	32.91	17.81	True	no
